id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7467649,Funko POP 8-Bit,Barb #28,$4.29,$8.00,$9.80,,,,,,,,,$0.90,$4.69,$1.80,$8.79,$2.80,$10.99,889698290050,1,Stranger Things,,,,2018-01-01
7467622,Funko POP 8-Bit,Batgirl #2,$3.00,$4.38,$9.29,,,,,,,,,,$3.29,$1.00,$4.79,$2.00,$9.99,889698220149,1,DC Super Heroes,,,,2018-01-01
7470160,Funko POP 8-Bit,Batgirl Classic TV #21,$6.00,$8.03,$14.99,,,,,,,,,$1.30,$6.59,$1.80,$8.79,$4.00,$15.99,889698220156,1,Batman.  Barnes Noble,,,,2017-01-01
7467620,Funko POP 8-Bit,Batman [NYCC] #1,$6.00,$9.00,$10.00,,,,,,,,,$1.30,$6.59,$2.00,$9.89,$2.80,$10.99,889698208376,1,DC Super Heroes,,,,2017-01-01
7467621,Funko POP 8-Bit,Batman [SDCC] #1,$8.85,$12.00,$14.50,,,,,,,,,$1.90,$9.69,$3.30,$12.99,$4.00,$15.99,889698318211,1,DC Super Heroes,,,,2017-01-01
7467640,Funko POP 8-Bit,Black Hole Bomb #13,$2.00,$3.00,$6.76,,,,,,,,,,$2.99,,$3.29,$1.50,$7.39,889698333344,1,Mega Man,,,,2018-01-01
7467646,Funko POP 8-Bit,Demogorgon #20,$8.14,$11.00,$13.40,,,,,,,,,$1.80,$8.99,$3.00,$11.99,$3.80,$14.99,889698234269,1,Stranger Things.  Target,,,,2017-01-01
7467604,Funko POP 8-Bit,Demogorgon [Chase] #20,$11.71,$17.00,$19.55,,,,,,,,,$3.30,$12.99,$4.80,$18.99,$6.60,$21.99,889698230810,1,Stranger Things,,,,2017-01-01
7467623,Funko POP 8-Bit,Dig Dug #3,$7.32,$9.99,$12.05,,,,,,,,,$1.60,$8.09,$2.80,$10.99,$3.30,$12.99,889698146845,1,Dig Dug,,,,2017-01-01
7467625,Funko POP 8-Bit,Donatello #5,$1.00,$1.12,$14.65,,,,,,,,,,$2.99,,$2.99,$4.00,$15.99,889698250078,1,Teenage Mutant Ninja Turtles,,,,2018-01-01
7467626,Funko POP 8-Bit,Donatello [Funko Shop] #5,$16.78,$24.50,$28.08,,,,,,,,,$4.50,$17.99,$8.10,$26.99,$9.30,$30.99,889698250078,1,Teenage Mutant Ninja Turtles,,,,2018-01-01
7467643,Funko POP 8-Bit,Dustin #18,$4.83,$6.00,$7.61,,,,,,,,,$1.10,$5.29,$1.30,$6.59,$1.70,$8.39,889698234269,1,Stranger Things.  Target,,,,2017-01-01
7467641,Funko POP 8-Bit,Eleven with Eggos #16,$3.91,$5.88,$6.51,,,,,,,,,$0.90,$4.29,$1.30,$6.49,$1.40,$7.19,889698385367,1,Stranger Things.  Target,,,,2017-01-01
7467652,Funko POP 8-Bit,Fix-It Felix #31,$7.07,$10.00,$11.79,,,,,,,,,$1.60,$7.79,$2.80,$10.99,$3.30,$12.99,889698307901,1,Wreck-It Ralph,,,,2018-01-01
7467595,Funko POP 8-Bit,Foot Soldier [Blue] #9,,,$170.49,,,,,,,,,,,,,$94.00,$188.00,889698220200,1,Teenage Mutant Ninja Turtles. NYCC,,,,2017-01-01
7467594,Funko POP 8-Bit,Foot Soldier [Purple] #9,,,,,,,,,,,,,,,,,,,1,Teenage Mutant Ninja Turtles. NYCC,,,,2017-01-01
7467597,Funko POP 8-Bit,Foot Soldier [Red] #9,,,$150.99,,,,,,,,,,,,,$83.00,$166.00,889698220170,1,Teenage Mutant Ninja Turtles. NYCC,,,,2017-01-01
7467632,Funko POP 8-Bit,Foot Soldier [White] #9,,,$204.25,,,,,,,,,,,,,$112.50,$225.00,,1,Teenage Mutant Ninja Turtles. NYCC,,,,2017-01-01
7467596,Funko POP 8-Bit,Foot Soldier [Yellow] #9,,,,,,,,,,,,,,,,,,,1,Teenage Mutant Ninja Turtles. NYCC,,,,2017-01-01
7467633,Funko POP 8-Bit,Freddy Funko #10,$8.86,$14.36,$14.75,,,,,,,,,$2.00,$9.79,$4.00,$15.99,$4.00,$15.99,889698228985,1,Freddy Funko,,,,2018-01-01
7467599,Funko POP 8-Bit,Freddy Funko [Blue GITD] #10,,,,,,,,,,,,,,,,,,,1,Freddy Funko.  SDCC,,,,2018-01-01
7467598,Funko POP 8-Bit,Freddy Funko [Green GITD] #10,,,,,,,,,,,,,,,,,,,1,Freddy Funko.  SDCC,,,,2018-01-01
7467645,Funko POP 8-Bit,Freddy Krueger #22,$8.00,$10.78,$13.00,,,,,,,,,$1.80,$8.79,$3.00,$11.99,$3.50,$13.99,889698245951,5,A Nightmare on Elm Street,,,,2018-01-01
7470157,Funko POP 8-Bit,Freddy Krueger #25,$9.94,$14.64,$16.57,,,,,,,,,$2.80,$10.99,$4.00,$15.99,$4.50,$17.99,889698245456,1,A Nightmare on Elm Street.  Gamestop,,,,2018-01-01
7467647,Funko POP 8-Bit,Jason Voorhees #23,$10.80,$14.74,$18.25,,,,,,,,,$3.00,$11.99,$4.00,$15.99,$5.00,$19.99,889698245968,1,Friday the 13th,,,,2018-01-01
7470158,Funko POP 8-Bit,Jason Voorhees #26,$22.22,$27.00,$32.56,,,,,,,,,$7.20,$23.99,$9.00,$29.99,$14.40,$35.99,889698247160,1,Friday the 13th,,,,2018-01-01
7647934,Funko POP 8-Bit,Knuckles #35,$12.81,$18.00,$21.35,,,,,,,,,$3.50,$13.99,$5.00,$19.99,$6.90,$22.99,889698830348,1,Sonic the Hedgehog,,,,2018-01-01
7467624,Funko POP 8-Bit,Leonardo #4,$1.00,$0.99,$14.99,,,,,,,,,,$2.99,,$2.99,$4.00,$15.99,889698229814,1,Teenage Mutant Ninja Turtles,,,,2018-01-01
7467630,Funko POP 8-Bit,Leonardo [Funko Shop] #4,$18.10,$25.00,$29.99,,,,,,,,,$5.00,$19.99,$8.40,$27.99,$9.90,$32.99,889698250283,1,Teenage Mutant Ninja Turtles,,,,2018-01-01
7467644,Funko POP 8-Bit,Lucas #19,$5.86,$8.00,$9.77,,,,,,,,,$1.30,$6.49,$1.80,$8.79,$2.80,$10.99,889698234276,1,Stranger Things.  Target,,,,2017-01-01
7467654,Funko POP 8-Bit,Medium Invader #33,$5.00,$6.18,$22.88,,,,,,,,,$1.10,$5.49,$1.40,$6.79,$7.50,$24.99,0889698324540,1,Space Invaders,,,,2018-01-01
7467611,Funko POP 8-Bit,Medium Invader [Blue] #33,$6.00,$6.00,$9.85,,,,,,,,,$1.30,$6.59,$1.30,$6.59,$2.80,$10.99,889698306065,1,Space Invaders,,,,2018-01-01
7467609,Funko POP 8-Bit,Medium Invader [GITD] #33,$15.90,$20.00,$26.50,,,,,,,,,$4.30,$16.99,$6.60,$21.99,$8.70,$28.99,,1,Space Invaders,,,,2018-01-01
7467612,Funko POP 8-Bit,Medium Invader [Orange] #33,$11.20,$15.99,$18.67,,,,,,,,,$3.00,$11.99,$4.50,$17.99,$6.30,$20.99,889698306065,1,Space Invaders,,,,2018-01-01
7467614,Funko POP 8-Bit,Medium Invader [Pink] #33,$13.40,$20.00,$23.52,,,,,,,,,$3.80,$14.99,$6.60,$21.99,$7.80,$25.99,,1,Space Invaders,,,,2018-01-01
7467610,Funko POP 8-Bit,Medium Invader [Teal] #33,$18.12,$26.20,$30.17,,,,,,,,,$5.00,$19.99,$8.70,$28.99,$9.90,$32.99,889698306065,1,Space Invaders,,,,2018-01-01
